Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Oliphant Crack","Oliphant Boulder > Welcome Boulders > * Powerlinez Bouldering > Powerlinez > New York",https://www.mountainproject.com/route/108393137/oliphant-crack,3.0,-1,Boulder,V2,1,11,41.14442,-74.16349
"Dislocator Roof","Pebbles Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106514345/dislocator-roof,2.8,-1,Boulder,V2,1,12,41.7375,-74.1872
"Voodoo Bullshit/Bring the Noise","Worthless Boulder > Central Park > New York City > New York",https://www.mountainproject.com/route/111668102/voodoo-bullshitbring-the-noise,3.3,-1,Boulder,V2,1,,40.7983,-73.9547
"RX Do It Over the Counter","Quarantine Area & Outbreak Boulder > Peterskill Bouldering > The Gunks > New York",https://www.mountainproject.com/route/119999414/rx-do-it-over-the-counter,3.6,-1,Boulder,V2,1,,41.73937,-74.21526
"Andrew Jump","Andrew Area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106518891/andrew-jump,2.2,-1,Boulder,V2,1,,41.74324,-74.17965
"Moloch Strikes Back (Pt. 2)","Moloch Boulder > The Bear Caves > New York",https://www.mountainproject.com/route/112506257/moloch-strikes-back-pt-2,4.0,-1,Boulder,V2,1,15,42.02387,-78.79383
"A Wrinkle In Time","The In Between > Grand Lake Reserve > New York",https://www.mountainproject.com/route/120400946/a-wrinkle-in-time,4.0,-1,Boulder,V2,1,12,44.33048,-75.73285
"Where the Things Live","Sunkist Boulder > The Playground: Area 1 > Near Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/113278477/where-the-things-live,4.0,-1,Boulder,V2,1,,41.73563,-74.18401
"The Arete","Worthless Boulder > Central Park > New York City > New York",https://www.mountainproject.com/route/107344049/the-arete,2.6,-1,Boulder,V2,1,,40.7983,-73.9547
"Slabosaurus Rex","Pyramid Boulder > Bridge Boulders > Woods Lake Bouldering > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/118729980/slabosaurus-rex,3.5,-1,Boulder,"V2 R",1,25,43.25363,-74.30612
"Under Fingerlock and Key","Moss Boulder > Bridge Boulders > Woods Lake Bouldering > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/118730010/under-fingerlock-and-key,4.0,-1,Boulder,V2,1,15,43.25363,-74.30612
"Double Clutch","Toilet Bowl Rock > Above the Narrows > Moss Island Bouldering > Little Falls > New York",https://www.mountainproject.com/route/123498378/double-clutch,4.0,-1,Boulder,V2,1,12,43.03965,-74.84686
"Marrakesh, aka Nameless Traverse","Nameless Area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106529771/marrakesh-aka-nameless-traverse,3.1,-1,Boulder,V2,1,18,41.7466,-74.1767
"The Fridge","Westside Outcrops > Central Park > New York City > New York",https://www.mountainproject.com/route/111669793/the-fridge,2.7,-1,Boulder,V2,1,,40.79721,-73.96069
