Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Checkered Demon","Checkered Demon > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106015721/checkered-demon,3.2,-1,"Trad, Boulder","5.11b V4",1,100,42.06539,-113.70937
"Sudden Meltdown","The Little Quarry > Table Rock > West Idaho > Idaho",https://www.mountainproject.com/route/108040530/sudden-meltdown,4.0,-1,Boulder,V4,1,40,43.59538,-116.14701
Greenroom,"Greenroom Area > Dierkes Lake Bouldering > Twin Falls and the Snake River Canyon > South Idaho > Idaho",https://www.mountainproject.com/route/110206167/greenroom,3.5,-1,Boulder,V4,1,,42.59619,-114.38964
"Snake Eyes","Walrus > Teton Dam (Lower Teton River Canyon) > East Idaho > Idaho",https://www.mountainproject.com/route/107036131/snake-eyes,3.5,-1,Boulder,V4,1,20,43.9032,-111.55277
"Lahaina Noon","Outlaw Wall > Q'Emiln Park > North Idaho > Idaho",https://www.mountainproject.com/route/118681757/lahaina-noon,4.0,-1,Boulder,V4,1,14,47.70104,-116.96286
"Oyster Bar","The North-East Face > Table Rock > West Idaho > Idaho",https://www.mountainproject.com/route/114466135/oyster-bar,4.0,-1,Boulder,V4,1,10,43.59601,-116.14292
"Fate Loves The Fearless","The Spider Cave > Tubbs Hill > North Idaho > Idaho",https://www.mountainproject.com/route/122909739/fate-loves-the-fearless,4.0,-1,"TR, Boulder","V4 X",1,35,47.66258,-116.77827
"Dab if you do, damned if you don’t","Volcom Boulder > Rock Creek (Croy) Bouldering > Central Idaho > Idaho",https://www.mountainproject.com/route/116123707/dab-if-you-do-damned-if-you-dont,4.0,-1,Boulder,V4,1,,43.45865,-114.34659
"Scent of a Man","Big Nose > Rock Creek (Croy) Bouldering > Central Idaho > Idaho",https://www.mountainproject.com/route/116123503/scent-of-a-man,4.0,-1,Boulder,V4,1,,43.46238,-114.34987
"Salamander Send Off","2. Main Section > Main Corridor > The Tumbleweeds > Pocatello Area Bouldering > East Idaho > Idaho",https://www.mountainproject.com/route/115339093/salamander-send-off,4.0,-1,Boulder,V4,1,24,42.82884,-112.40798
"Grazing Allotment","Roadside Boulders. > FR 643 Boulders > High Valley > West Idaho > Idaho",https://www.mountainproject.com/route/117235532/grazing-allotment,4.0,-1,Boulder,V4,1,10,44.20453,-116.14547
"Soup or Solid","Triangle Boulder > Rock Creek (Croy) Bouldering > Central Idaho > Idaho",https://www.mountainproject.com/route/116123661/soup-or-solid,4.0,-1,Boulder,V4,1,,43.46007,-114.34824
"Bob's Down Under Traverse","Bob's Nose > Table Rock > West Idaho > Idaho",https://www.mountainproject.com/route/112086523/bobs-down-under-traverse,3.8,-1,Boulder,V4,1,15,43.59342,-116.14663
"Groove Right","Orgasmo Boulder > Swan Falls > West Idaho > Idaho",https://www.mountainproject.com/route/112835950/groove-right,3.3,-1,Boulder,V4,1,,43.25814,-116.39215
Tweedle-dee,"Power Box Boulders > Teton Dam (Lower Teton River Canyon) > East Idaho > Idaho",https://www.mountainproject.com/route/106991488/tweedle-dee,3.3,-1,Boulder,V4,1,,43.9074,-111.5413
"Bear Hug","Down Under Corridor Area > Dierkes Lake Bouldering > Twin Falls and the Snake River Canyon > South Idaho > Idaho",https://www.mountainproject.com/route/111830500/bear-hug,3.3,-1,Boulder,V4,1,,42.59634,-114.39008
"Roof time","Roof Boulders > Tubbs Hill > North Idaho > Idaho",https://www.mountainproject.com/route/122051345/roof-time,3.7,-1,Boulder,"V4 PG13",1,25,47.66404,-116.7787
"Fred’s forehead","Bedrock > Rock Creek (Croy) Bouldering > Central Idaho > Idaho",https://www.mountainproject.com/route/116122896/freds-forehead,3.3,-1,Boulder,V4,1,,43.46228,-114.35206
