Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Heavenly Path","Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105996532/heavenly-path,3.7,-1,Boulder,"V1 PG13",1,25,37.41718,-118.45095
"Initial Friction","Cocaine Corner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106036895/initial-friction,3.6,-1,Boulder,V1,1,15,37.74232,-119.60431
"Buttermilk Stem","Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130698/buttermilk-stem,3.6,-1,Boulder,V1,1,15,37.32906,-118.5768
"Once Upon A Time","Once Upon A Time Boulder > Once Upon A Time Area > The Summit > Black Mountain > San Jacinto Mountains > California",https://www.mountainproject.com/route/109471684/once-upon-a-time,4.0,-1,Boulder,"V1 R",1,15,33.8216,-116.75837
"Spiral Traverse","Spiral Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105955307/spiral-traverse,3.5,-1,Boulder,V1,1,50,34.27029,-118.60303
Jaws,"Jaws Vicinity > Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791650/jaws,3.4,-1,"Trad, Boulder","5.11a V1",1,15,33.00579,-116.96748
"Waimea Wall","Castle Rock Proper > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736193/waimea-wall,3.2,-1,Boulder,V1,1,,37.22862,-122.0962
"The Womb (Birthing Experience)","Womb Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107052779/the-womb-birthing-experience,3.2,-1,Boulder,V1,1,12,37.329,-118.57473
"Good Morning Sunshine","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106094043/good-morning-sunshine,3.2,-1,Boulder,"V1 PG13",1,22,37.32859,-118.57516
"Hoof and Mouth","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105884461/hoof-and-mouth,3.2,-1,Boulder,V1,1,15,34.2692,-118.6037
"The Extremist","Extremist Boulder > The Brickyard > * Santa Barbara Bouldering > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/106608202/the-extremist,3.5,-1,Boulder,V1,1,20,34.49779,-119.86098
"Hueco Shuffle","Hueco Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505709/hueco-shuffle,3.0,-1,Boulder,V1,1,13,33.8159,-116.64911
"Slight Inducement","Slight Inducement Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106086687/slight-inducement,3.0,-1,Boulder,V1,1,12,37.41898,-118.45339
"The Warm Up","Dog Dish Boulders > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110616152/the-warm-up,2.8,-1,Boulder,V1,1,12,37.22801,-122.09564
